Bacon Cheese Frittata,https://www.allrecipes.com/recipe/222584/bacon-cheese-frittata/,https://images.media-allrecipes.com/userphotos/560x315/4153723.jpg,"Make this frittata even easier by using cooked bacon from the freezer. It's a wonderful dish to serve at brunch or to take as leftovers for lunch.",245
Oriental Cold Noodle Salad,https://www.allrecipes.com/recipe/83087/oriental-cold-noodle-salad/,https://images.media-allrecipes.com/userphotos/560x315/3894268.jpg,"A zesty treat--Goes great with bbq'd chicken and a beer.  This dish has more of a Thai flavor. For a Japanese flavor, omit the pepper flakes, peanuts, and cilantro. Add 1/4 c. of toasted sesame seeds. If you're feeling adventurous mix in 1/2 c. of shredded dried seaweed (nori) just before serving. You can substitute ramen noodles for soba.",242
Russian Mushroom and Potato Soup,https://www.allrecipes.com/recipe/80773/russian-mushroom-and-potato-soup/,https://images.media-allrecipes.com/userphotos/560x315/3626794.jpg,"I make this soup every Halloween and is the 'signal' to the family that the cool weather has arrived. I've been making it for 15 years now and out of all the soups I make, it is still everyone's favorite. Enjoy!",167
Green Tomato and Bell Pepper Delight,https://www.allrecipes.com/recipe/22467/green-tomato-and-bell-pepper-delight/,https://images.media-allrecipes.com/userphotos/250x250/656498.jpg,"Delicious, fresh and tasty! Serve as a side dish or top it on a  baked potato or some rice.",127
Zucchini Herb Casserole,https://www.allrecipes.com/recipe/74077/zucchini-herb-casserole/,https://images.media-allrecipes.com/userphotos/560x315/580315.jpg,"I've been making this casserole for almost 20 years and it's always a hit. Even my meat-eater husband likes it. Serve with a crusty French bread or soft breadsticks. Leftovers are great in an omelet the next day.",266
Eggs Benedict with Salmon,https://www.allrecipes.com/recipe/20915/eggs-benedict-with-salmon/,https://images.media-allrecipes.com/userphotos/560x315/833589.jpg,"Smoked salmon and rye bread add a new twist to the traditional eggs Benedict. Sauce can be set aside at room temp for up to one hour. When ready to serve, reheat gently in double boiler.",223
Make-Ahead Sour Cream Coffee Cake,https://www.allrecipes.com/recipe/220329/make-ahead-sour-cream-coffee-cake/,https://images.media-allrecipes.com/userphotos/250x250/857474.jpg,"Easy to put together the night before, then pop in the oven in the morning for a hot, delicious coffee cake.",304
Easy Meatloaf,https://www.allrecipes.com/recipe/16354/easy-meatloaf/,https://images.media-allrecipes.com/userphotos/560x315/682282.jpg,"This is a very easy and no fail recipe for meatloaf. It won't take long to make at all, and it's quite good!",372
Winter Leek and Potato Soup,https://www.allrecipes.com/recipe/220779/winter-leek-and-potato-soup/,https://images.media-allrecipes.com/userphotos/560x315/1040356.jpg,"A great-tasting, hearty and satisfying soup that's perfect for a lunch or to start an otherwise light dinner.",364
Fresh Broccoli Salad,https://www.allrecipes.com/recipe/14280/fresh-broccoli-salad/,https://images.media-allrecipes.com/userphotos/560x315/4550791.jpg,"This is a yummy summer salad that uses an interesting combination of fruits, vegetables and meats.  Before you decide you won't like it, try it.  You'll be pleasantly surprised.  You can add an extra head of broccoli, if you like.",374
Pecan Sour Cream Coffee Cake,https://www.allrecipes.com/recipe/246868/pecan-sour-cream-coffee-cake/,https://images.media-allrecipes.com/userphotos/560x315/3489946.jpg,"For me, the best part about coffee cake is the crispy, crunchy, buttery crumbs. So here I significantly upped the amounts used. Bake times will vary according to pan size and composition.",634
Goong Tod Kratiem Prik Thai (Prawns Fried with Garlic and White Pepper),https://www.allrecipes.com/recipe/245888/goong-tod-kratiem-prik-thai-prawns-fried-with-garlic-and-white-pepper/,https://images.media-allrecipes.com/userphotos/560x315/3224366.jpg,"This dish uses a classic Thai preparation method of protein. It might not sound like much, but it's a very satisfying dish, especially made with shrimp that's shell-on. We eat the shrimp shell and all, as to not miss out on any flavor. It's also a very kid-friendly dinner dish. Serve with lots of rice.",377
Downeast Maine Pumpkin Bread,https://www.allrecipes.com/recipe/6820/downeast-maine-pumpkin-bread/,https://images.media-allrecipes.com/userphotos/560x315/4567827.jpg,"This is a great old Maine recipe, moist and spicy. The bread actually tastes even better the day after it is baked. Great for holiday gift giving!",263
Roasted Beets and Sauteed Beet Greens,https://www.allrecipes.com/recipe/54484/roasted-beets-and-sauteed-beet-greens/,https://images.media-allrecipes.com/userphotos/560x315/350902.jpg,"This is a great way to use every part of the fresh beets you buy.  You can get two delicious side dishes out of this one vegetable.",204
"Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts",https://www.allrecipes.com/recipe/230659/roasted-brussels-sprouts-with-apples-golden-raisins-and-walnuts/,https://images.media-allrecipes.com/userphotos/560x315/959436.jpg,"Healthy veggies with a hint of sweet. Who knew Brussels sprouts could taste so good?",158
Low Carb Cauliflower Leek Soup,https://www.allrecipes.com/recipe/69635/low-carb-cauliflower-leek-soup/,https://images.media-allrecipes.com/userphotos/560x315/429094.jpg,"A simple yet tasty alternative to potato leek soup. Great for those watching their carbs or calories, or just looking for a different vegetarian soup.",155
Bacon Cheese Muffins,https://www.allrecipes.com/recipe/229996/bacon-cheese-muffins/,https://images.media-allrecipes.com/userphotos/560x315/973572.jpg,"A great dinner or wonderful for breakfast with eggs.",205
Bacon and Potato Frittata with Greens,https://www.allrecipes.com/recipe/238314/bacon-and-potato-frittata-with-greens/,https://images.media-allrecipes.com/userphotos/560x315/4531057.jpg,"This is a wonderful meal anytime of day or night. My grandfather used to make frittatas quite often. Instead of finishing a frittata under the broiler he would cook it halfway, put a plate on top of the pan, flip the pan over, and slide the frittata back into the pan to cook the other side. Sometimes a frittata would stick; other times the hot oil would drip on him as he performed this maneuver. It was during these moments that I learned all the really good Italian curse words I still use to this day.",150
Cabbage Fat-Burning Soup,https://www.allrecipes.com/recipe/13116/cabbage-fat-burning-soup/,https://images.media-allrecipes.com/userphotos/560x315/3086983.jpg,"This tomato and cabbage soup was rumored, in days of old, to melt away those thighs.",90
Chicken Tikka Masala,https://www.allrecipes.com/recipe/45736/chicken-tikka-masala/,https://images.media-allrecipes.com/userphotos/560x315/39905.jpg,"This is an easy recipe for Chicken Tikka Masala--chicken marinated in yogurt and spices and then served in a tomato cream sauce. Serve with rice or warm pita bread.",404
